sku,name,category,description,size,material,price,image,featured
1124040-1,Butterfly Agate Copper K9 Crystal,tabledecor,,6 x 8 x 34 cm,Copper Crystal,"PHP 4,999.00",1124040-1.jpg,Yes
1124046-1,Copper Natural Greenstone Marble,tabledecor,,8 x 9 x 20 cm,Crystal,"PHP 4,999.00",1124046-1.jpg,
925013-2,Round Accent Wooden Tray,tabledecor,,30 x  30 x  11 cm,Wood,"PHP 1,999.00",925013-2.jpg,Yes
925012-2,Square Accent Wooden Tray,tabledecor,,40 x  30 x  6.5 cm,Wood,"PHP 1,799.00",925012-2.jpg,
924091-3,Ginkgo Accent Metal Tray,tabledecor,,46 x 35.5 x 4.5 cm,Metal,"PHP 1,299.00",924091-3.jpg,
1125053-2,Climb of Unity,tabledecor,,22.4 x  13.4 x  32.6 cm,Resin,"PHP 2,999.00",1125053-2.jpg,
1125048-1,Chill Champ,tabledecor,,28.5 x  15.5 x  20.7 cm,Resin,"PHP 2,999.00",1125048-1.jpg,
1124068-1,Bulldog with Tray,tabledecor,,25 x 22 x 32 cm,Resin,"PHP 2,999.00",1124068-1.jpg,
1125022-1,Prosperity Fruit Tray,tabledecor,,22.5 x  22.5 x  22.5 cm,Glass,"PHP 1,999.00",1125022-1.jpg,
1125031-1,Fruit Tray,tabledecor,,30 x  30 x  13.5 cm,Metal Wood,"PHP 1,499.00",1125031-1.jpg,
925019-1,Metal Vase,tabledecor,,25 x  28.5 x  16 cm,Metal,PHP 799.00,925019-1.jpg,
1125014-1,Muse & Apollo Bookends,tabledecor,,22 x  8 x  16 cm,Copper Plate,"PHP 2,299.00",1125014-1.jpg,Yes
1125011-1,Liberty in White,tabledecor,,7 x  8 x  30 cm,Copper Plate,"PHP 1,299.00",1125011-1.jpg,
1124079-1,Sailboat,tabledecor,,17.5 x 5.5 x 21 cm,Resin,PHP 999.00,1124079-1.jpg,
1224104-1,Decorative Vase Small,tabledecor,,12 x 12 x 33 cm,Terracotta,"PHP 1,299.00",1224104-1.jpg,Yes
1224029-1,Decorative Vase,tabledecor,,11.5 x 11.5 x 26 cm,Ceramic,PHP 999.00,1224029-1.jpg,
524014-6,Vintage Wall Clock,clock,,60 x 6 x 60 cm,Wood,"PHP 4,999.00",524014-6.jpg,
524012-6,Vintage Wall Clock,clock,,60 x 6 x 60 cm,Metal,"PHP 4,999.00",524012-6.jpg,Yes
524011-6,Vintage Wall Clock,clock,,60 x 6 x 60 cm,Metal,"PHP 4,999.00",524011-6.jpg,
524016-3,Vintage Wall Clock,clock,,42 x 7 x 42 cm,Metal,"PHP 3,999.00",524016-3.jpg,
524015-3,Vintage Wall Clock,clock,,43 x 7.5 x 43 cm,Metal,"PHP 3,999.00",524015-3.jpg,Yes
524013-4,Vintage Wall Clock,clock,,40 x 6 x 55 cm,Wood,"PHP 2,999.00",524013-4.jpg,
msi-psw,Polo Shirt White,apparel,"Classic white polo shirt ideal for corporate uniforms, school activities, events, and everyday wear. Designed for both men and ladies with a lightweight and comfortable feel, offering a clean and versatile appearance suitable for various settings.",XS-3XL,,PHP 150.00 - 185.00,msi-psw.jpg,
msi-psc,Polo Shirt Colored,apparel,"Comfortable everyday polo shirt designed for both men and ladies, suitable for uniforms, company wear, events, and casual use. Made for all-day comfort with a clean and professional look, available in a variety of colored fabric options and multiple size ranges for a better fit.",XS-3XL,,PHP 180.00 - 225.00,msi-psc.jpg,
msi-lsp,Long Sleeve Plain F/S,apparel,"Lightweight and comfortable long sleeve shirt ideal for workwear, outdoor activities, uniforms, and everyday protection. Designed for practical daily use while maintaining a clean and professional appearance.",S-XL,,PHP 65.00,msi-lsp.jpg,
msi-lsr,Long Sleeve w/ Reflector,apparel,"Functional long sleeve shirt with reflective detailing for added visibility and safety in workplaces, outdoor activities, and field operations. Ideal for construction, logistics, warehouse, and utility use while providing comfort for extended wear.",S-XL,,PHP 110.00,msi-lsr.jpg,
brd-50,Reed Diffuser 50ml,fragrance,"A compact home fragrance diffuser ideal for desks, bedside tables, powder rooms, and small spaces. Available in elegant Round Black (RB) and Round Gold (RG) packaging for a modern decorative touch while continuously diffusing fragrance throughout the room.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",50ml,,PHP 349.00,brd-50.png,
brd-140,Reed Diffuser 140ml,fragrance,"A decorative reed diffuser designed for living rooms, bedrooms, offices, and reception spaces. Available in Round Gold (RG) and Square Amber Glass (SAG), packaging that complements both modern and classic interiors while providing long-lasting fragrance diffusion.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",140ml,,PHP 689.00,,
brd-150,Reed Diffuser 150ml,fragrance,"A decorative reed diffuser designed for living rooms, bedrooms, offices, and reception spaces. Available in Square Silver (SS) packaging that complements both modern and classic interiors while providing long-lasting fragrance diffusion.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",150ml,,PHP 689.00,,
brs-250,Room Spray 250ml,fragrance,"Instantly refresh and revitalize any room with this versatile room spray, ideal for bedrooms, living rooms, offices, and bathrooms. Available in Pump Spray Amber PET (PSAP), Pump Spray Clear PET (PSCP), Pump Spray Cobalt Blue PET (PSCBP), and Trigger Spray Amber PET (TSAP) packaging for both functional and stylish everyday use.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",250ml,,PHP 399.00,brs-250.png,
brs-300,Room Spray 300ml,fragrance,"A larger-capacity room spray formulated to quickly eliminate odors and create a welcoming atmosphere in homes, offices, and commercial spaces. Available in Trigger Spray Amber PET (TSAP), Trigger Spray Clear PET (TSCP), and Trigger Spray Cobalt Blue PET (TSCBP) packaging for easy and efficient application.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",300ml,,PHP 459.00,brs-300.png,
bsc-2,Soy Candle 2oz,fragrance,"A compact soy candle perfect for small spaces, gifting, giveaways, or travel use. Available in Round Black Tin Can (RBTC) packaging, offering a warm and cozy fragrance experience with a clean and relaxing burn.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",2oz,,PHP 189.00,bsc-2.png,
bsc-4,Soy Candle 4oz,fragrance,"A stylish medium-sized soy candle designed to create a relaxing and inviting atmosphere in bedrooms, living rooms, and workspaces. Available in Clear Glass Jar with Lid (CGJL) and Amber Glass with Lid (AGL) packaging for an elevated home fragrance experience.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",4oz,,PHP 349.00,bsc-4.png,
bsc-6,Soy Candle 6oz,fragrance,"A premium large soy candle ideal for creating a long-lasting aromatic ambiance in larger rooms and entertaining spaces. Available in Clear Glass Vessel (CGV) and Amber Glass with Lid (AGL) packaging that blends beautifully with modern home décor.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",6oz,,PHP 529.00,bsc-6.png,
bwsol-20,Water Soluble 20ml,fragrance,"Concentrated water-soluble fragrance oils specially formulated for humidifiers, diffusers, and aroma burners. Available in Amber Glass (AG packaging for safe and convenient everyday aromatherapy use.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",20ml,,PHP 119.00,bwsol-20.png,
bwsol-50,Water Soluble 50ml,fragrance,"Concentrated water-soluble fragrance oils specially formulated for humidifiers, diffusers, and aroma burners. Available in Amber PET (AP) and Cobalt Blue PET (CBP) packaging for safe and convenient everyday aromatherapy use.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",50ml,,PHP 179.00,bwsol-50.png,
bwsol-100,Water Soluble 100ml,fragrance,"A larger-capacity water-soluble fragrance oil ideal for regular diffuser use in homes, offices, and wellness spaces. Packaged in durable Amber PET (AP) bottles for practical and easy dispensing while providing consistent aromatic performance.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",100ml,,PHP 349.00,,
brls-1l,Room & Linen Spray 1L,fragrance,"A multi-purpose fragrance spray designed for linens, curtains, upholstery, bedrooms, and living spaces. Formulated to instantly freshen fabrics and interiors while leaving a clean, long-lasting scent throughout the room.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",1L,,PHP 650.00,brls-1l.png,
brls-1g,Room & Linen Spray 1gal,fragrance,"A multi-purpose fragrance spray designed for linens, curtains, upholstery, bedrooms, and living spaces. Formulated to instantly freshen fabrics and interiors while leaving a clean, long-lasting scent throughout the room.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",1gal,,"PHP 2,000.00",brls-1g.png,
bsmo-1l,Scenting Machine Oil 1L,fragrance,"Professional-grade fragrance oil specially formulated for scenting machines and HVAC scent diffusion systems. Designed for consistent aroma performance and long-lasting fragrance coverage in residential, commercial, and hospitality environments.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",1L,,"PHP 3,500.00",,
bsmo-1g,Scenting Machine Oil 1gal,fragrance,"Professional-grade fragrance oil specially formulated for scenting machines and HVAC scent diffusion systems. Designed for consistent aroma performance and long-lasting fragrance coverage in residential, commercial, and hospitality environments.

Available Scents: Fresh Bamboo, Shangri-La, Solair, Lavender, Peppermint, Eucalyptus, White Tea, Warm Cotton, Balsam & Spruce, Citonella, Green Tea, Lemongrass.",1gal,,"PHP 12,950.00",,
1423001-1,AR-50 Max,scentmachine,"Compact and portable scenting machine designed for small enclosed spaces such as elevators and bathrooms. Features a rechargeable battery and patented atomizer technology for quiet and efficient fragrance diffusion, covering up to 50sqm with a 100ml capacity.",150 x 150 x 60 mm,,"PHP 4,999.00",1423001-1.png,
1423002-2,IB-900,scentmachine,"A powerful commercial scenting machine ideal for small lobbies, landing areas, living rooms, and common spaces. Equipped with Bluetooth and WiFi connectivity, patented atomizer technology, and a large 1000ml capacity, it delivers consistent fragrance coverage for areas up to 600sqm.",160 x 160 x 540 mm,,"PHP 19,999.00",1423002-2.png,
1423003-1,SM-200,scentmachine,"Discreet ceiling-mounted scenting machine perfect for VIP rooms and private spaces. Features Bluetooth and WiFi control, quiet operation, and patented atomizer technology, offering efficient fragrance diffusion for up to 200sqm with a 200ml capacity.",136 x 136 x 119 mm,,"PHP 8,999.00",1423003-1.png,
1423004-1,AR-200,scentmachine,"Elegant wall-mounted scenting machine designed for large bathrooms, VIP rooms, and private rooms. With Bluetooth and WiFi connectivity, visible oil-level monitoring, and patented atomizer technology, it provides quiet and reliable scent coverage for up to 200sqm.",65 x 135 x 190 mm,,"PHP 4,999.00",1423004-1.png,
1423005-1,AR-150 Black,scentmachine,"Compact and modern scenting machine ideal for display tables, elevator landings, and small commercial spaces. With Bluetooth and WiFi connectivity and patented atomizer technology, it delivers efficient and quiet fragrance diffusion for up to 150sqm.",160 x 160 x 160 mm,,"PHP 15,999.00",1423005-1.png,
1423006-1,AR-150 Rose Gold,scentmachine,"Stylish and compact scenting machine suitable for elevator landings, display tables, and small commercial areas. Features Bluetooth and WiFi connectivity with patented atomizer technology, delivering quiet fragrance diffusion for spaces up to 150sqm.",160 x 160 x 160 mm,,"PHP 15,999.00",1423006-1.png,
1425001-1,SM-10000,scentmachine,"High-capacity HVAC scenting system engineered for large commercial environments such as hotel lobbies, function rooms, and high-ceiling areas. Powered by Bluetooth and WiFi controls with patented atomizer technology, it efficiently scents spaces up to 5000sqm with a 2000ml capacity.",360 x 206 x 180 mm,,"PHP 32,999.00",1425001-1.png,
1424001-1,SM-3000,scentmachine,"Commercial-grade scenting machine ideal for large lobbies, living rooms, common areas, and indoor landing spaces. Equipped with Bluetooth and WiFi connectivity, quiet operation, and patented atomizer technology, it provides wide fragrance coverage for areas up to 2000sqm.",150 x 150 x 150 mm,,"PHP 15,999.00",1424001-1.png,
1424002-1,AR-200,scentmachine,"Modern black-finish scenting machine designed for premium bathrooms, VIP rooms, and private areas. Features Bluetooth and WiFi connectivity, visible oil-level monitoring, and quiet patented atomizer technology for effective scent coverage up to 200sqm.",65 x 135 x 190 mm,,"PHP 4,999.00",1424002-1.png,
xds-stc,Small Table Centerpiece,xds,"Compact Christmas table centerpiece ideal for reception desks, dining tables, concierge counters and café settings. Styled with festive ornaments, florals and seasonal accents to add an elegant holiday touch without occupying too much space.",,,,xds-stc.png,
xds-mtc,Medium Table Centerpiece,xds,"Versatile holiday centerpiece designed for dining tables, lobby consoles, meeting rooms and common areas. Creates a warm and festive atmosphere with balanced seasonal styling suitable for hotels, condominiums, restaurants and offices.",,,,xds-mtc.png,
xds-ttc,Tall Table Centerpiece,xds,"Statement Christmas centerpiece designed for large dining tables, hotel buffets, registration counters and event spaces. Features elevated styling that adds visual impact while maintaining an elegant holiday presentation.",,,,xds-ttc.png,
xds-ltc,Long and Low Table Centerpiece,xds,"A horizontally styled centerpiece perfect for banquet tables, conference tables and long dining setups. Designed to provide festive elegance without blocking guest interaction or sightlines across the table.",,,,xds-ltc.png,
xds-ga,Garland Arrangement,xds,"Decorative Christmas garland arrangement ideal for stair railings, entrances, counters, mantels and hallway accents. Styled with festive foliage, ornaments, ribbons and lighting options to enhance commercial and residential holiday spaces.",9ft,,,xds-ga.png,
xds-wa,Wreath Arrangement,xds,"Classic Christmas wreath arrangement suitable for doors, walls, lobbies, storefronts and feature displays. Available in various sizes and styled with coordinated ornaments, florals, ribbons, and festive accents for a welcoming holiday presentation.",30in - 45in,,,xds-wa.png,
xds-aga,Arch Garland Arrangement,xds,"Custom Christmas arch garland arrangement designed for entrances, stage setups, photo areas and mall or hotel walkways. Creates a festive focal point with layered greenery, ornaments, ribbons and optional lighting elements.",,,,xds-aga.png,
xds-ct,Cone Tree,xds,"Modern decorative cone tree ideal for hotel lobbies, mall displays, entrances and event styling. Designed with festive lighting and coordinated holiday décor for a sleek and space-efficient Christmas installation.",6ft - 8ft,,,xds-ct.png,
xds-cta,Christmas Tree,xds,"Custom-decorated Christmas trees available in various heights for hotels, malls, condominiums, offices and commercial spaces. Professionally styled with coordinated ornaments, lighting, ribbons, florals and themed holiday décor to create a striking festive centerpiece.",7ft - 30ft,,,xds-cta.png,
xds-cl,6m Curtain Lights,xds,"Decorative curtain lighting ideal for walls, windows, stage backdrops and event spaces. Provides a warm and elegant festive glow perfect for hotels, restaurants, malls and holiday installations.",,,,xds-cl.png,
xds-dl,Dandelion Lights,xds,"Decorative LED dandelion lights designed to add sparkle and ambiance to Christmas displays, pathways, gardens and event setups. Creates a magical festive atmosphere for both indoor and outdoor holiday styling.",,,,xds-dl.png,
xds-ltp,Lighted Topiary,xds,"Illuminated decorative topiary ideal for entrances, pathways, lobbies and commercial Christmas displays. Combines elegant greenery styling with warm festive lighting for a sophisticated holiday accent.",,,,xds-ltp.png,
